Sample,Total Reads (before trimming),Duplication percentage,Total reads (after Trimming),Mapped Reads,Unmapped reads,Percentage of mapped reads,Uniquely mapped reads before deduplication,Ind,Tx,Ab,Type,Sample Det,Treatment,Ind_ab,Ind_Type
MCW_SP_ChIP47,30828399,4.052895962,30823379,30521400,301979,99.02029236,27544883,Ind3,VEH,Input_P53,Input_DNA,Ind3_VEH_Input_P53,VEH_Input_P53,Ind3_Input_P53,Ind3_Input_DNA
MCW_SP_ChIP48,28201289,3.246708409,28199659,27926491,273168,99.03130744,24842387,Ind3,DOX,Input_P53,Input_DNA,Ind3_DOX_Input_P53,DOX_Input_P53,Ind3_Input_P53,Ind3_Input_DNA
MCW_SP_ChIP49,24273749,3.576650829,24262890,24030772,232118,99.04332089,21059546,Ind4,VEH,Input_P53,Input_DNA,Ind4_VEH_Input_P53,VEH_Input_P53,Ind4_Input_P53,Ind4_Input_DNA
MCW_SP_ChIP50,23203709,4.348153472,23201628,22968258,233370,98.99416541,20146876,Ind4,DOX,Input_P53,Input_DNA,Ind4_DOX_Input_P53,DOX_Input_P53,Ind4_Input_P53,Ind4_Input_DNA
MCW_SP_ChIP51,23687544,13.9268358,23645044,22711440,933604,96.05158696,20281786,Ind5,VEH,TOP2B,ChIP_DNA,Ind5_VEH_TOP2B,VEH_TOP2B,Ind5_TOP2B,Ind5_ChIP_DNA
MCW_SP_ChIP52,27575709,14.24226618,27293721,26489650,804071,97.0540074,23562616,Ind5,DOX,TOP2B,ChIP_DNA,Ind5_DOX_TOP2B,DOX_TOP2B,Ind5_TOP2B,Ind5_ChIP_DNA
MCW_SP_ChIP53,56868210,35.7296211,56828398,55879595,948803,98.33040692,49962245,Ind5,VEH,p53,ChIP_DNA,Ind5_VEH_p53,VEH_p53,Ind5_p53,Ind5_ChIP_DNA
MCW_SP_ChIP54,44143562,19.37383501,44126295,43526412,599883,98.64053168,38981526,Ind5,DOX,p53,ChIP_DNA,Ind5_DOX_p53,DOX_p53,Ind5_p53,Ind5_ChIP_DNA
MCW_SP_ChIP55,22992519,25.50296345,22971183,21504357,1466826,93.61449517,19302962,Ind6,VEH,TOP2B,ChIP_DNA,Ind6_VEH_TOP2B,VEH_TOP2B,Ind6_TOP2B,Ind6_ChIP_DNA
MCW_SP_ChIP56,37708458,19.81482122,37690245,37130958,559283,98.51609614,33050739,Ind6,DOX,TOP2B,ChIP_DNA,Ind6_DOX_TOP2B,DOX_TOP2B,Ind6_TOP2B,Ind6_ChIP_DNA
MCW_SP_ChIP57,35942482,56.17363863,35923326,34366504,1556822,95.66626431,30494571,Ind6,VEH,p53,ChIP_DNA,Ind6_VEH_p53,VEH_p53,Ind6_p53,Ind6_ChIP_DNA
MCW_SP_ChIP58,52718736,46.69952681,52695436,51965835,729601,98.61543797,46038173,Ind6,DOX,p53,ChIP_DNA,Ind6_DOX_p53,DOX_p53,Ind6_p53,Ind6_ChIP_DNA
MCW_SP_ChIP59,25071557,4.182505889,25048517,24841032,207485,99.17166753,22336942,Ind5,VEH,Input_P53,Input_DNA,Ind5_VEH_Input_P53,VEH_Input_P53,Ind5_Input_P53,Ind5_Input_DNA
MCW_SP_ChIP60,25921518,2.62495789,25920060,25641448,278612,98.92511051,23170321,Ind5,DOX,Input_P53,Input_DNA,Ind5_DOX_Input_P53,DOX_Input_P53,Ind5_Input_P53,Ind5_Input_DNA
MCW_SP_ChIP61,13903613,3.487428834,13896295,13215324,680971,95.09962188,11188300,Ind6,VEH,Input_P53,Input_DNA,Ind6_VEH_Input_P53,VEH_Input_P53,Ind6_Input_P53,Ind6_Input_DNA
MCW_SP_ChIP62,18053543,3.031750235,18051691,17539645,512046,97.1634458,15142556,Ind6,DOX,Input_P53,Input_DNA,Ind6_DOX_Input_P53,DOX_Input_P53,Ind6_Input_P53,Ind6_Input_DNA
